"initial_alias","converted_alias","name","description","namespace"
"STXBP2","6813","STXBP2","syntaxin binding protein 2 [Source:HGNC Symbol;Acc:HGNC:11445]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RRS1","23212","RRS1","ribosome biogenesis regulator 1 homolog [Source:HGNC Symbol;Acc:HGNC:17083]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MTA3","57504","MTA3","metastasis associated 1 family member 3 [Source:HGNC Symbol;Acc:HGNC:23784]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"UBA2","10054","UBA2","ubiquitin like modifier activating enzyme 2 [Source:HGNC Symbol;Acc:HGNC:30661]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"WIBG","None","None","None",""
"MAGEA9B","728269","MAGEA9B","MAGE family member A9B [Source:HGNC Symbol;Acc:HGNC:31909]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"COMPLEX:EJZ/JQDZKIRVC/G6AWMCAF7XG64","None","None","None",""
"CLIC1","1192","CLIC1","chloride intracellular channel 1 [Source:HGNC Symbol;Acc:HGNC:2062]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SSBP3","23648","SSBP3","single stranded DNA binding protein 3 [Source:HGNC Symbol;Acc:HGNC:15674]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SETD1A","9739","SETD1A","SET domain containing 1A, histone lysine methyltransferase [Source:HGNC Symbol;Acc:HGNC:29010]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"IFNA4","3441","IFNA4","interferon alpha 4 [Source:HGNC Symbol;Acc:HGNC:5425]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TELO2","9894","TELO2","telomere maintenance 2 [Source:HGNC Symbol;Acc:HGNC:29099]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ITGA2","3673","ITGA2","integrin subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:6137]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SMAD9","4093","SMAD9","SMAD family member 9 [Source:HGNC Symbol;Acc:HGNC:6774]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"BMPR2","659","BMPR2","bone morphogenetic protein receptor type 2 [Source:HGNC Symbol;Acc:HGNC:1078]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"VPS45","11311","VPS45","vacuolar protein sorting 45 homolog [Source:HGNC Symbol;Acc:HGNC:14579]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"KRT36","8689","KRT36","keratin 36 [Source:HGNC Symbol;Acc:HGNC:6454]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"IFIT3","3437","IFIT3","interferon induced protein with tetratricopeptide repeats 3 [Source:HGNC Symbol;Acc:HGNC:5411]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"C1ORF174","339448","C1orf174","chromosome 1 open reading frame 174 [Source:HGNC Symbol;Acc:HGNC:27915]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MED30","90390","MED30","mediator complex subunit 30 [Source:HGNC Symbol;Acc:HGNC:23032]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"HRH1","3269","HRH1","histamine receptor H1 [Source:HGNC Symbol;Acc:HGNC:5182]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TSC22D4","81628","TSC22D4","TSC22 domain family member 4 [Source:HGNC Symbol;Acc:HGNC:21696]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CPSF2","53981","CPSF2","cleavage and polyadenylation specific factor 2 [Source:HGNC Symbol;Acc:HGNC:2325]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PKNOX1","5316","PKNOX1","PBX/knotted 1 homeobox 1 [Source:HGNC Symbol;Acc:HGNC:9022]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CRLF1","9244","CRLF1","cytokine receptor like factor 1 [Source:HGNC Symbol;Acc:HGNC:2364]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"DSP","1832","DSP","desmoplakin [Source:HGNC Symbol;Acc:HGNC:3052]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CA13","377677","CA13","carbonic anhydrase 13 [Source:HGNC Symbol;Acc:HGNC:14914]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"UNC5D","137970","UNC5D","unc-5 netrin receptor D [Source:HGNC Symbol;Acc:HGNC:18634]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TSPY3","124905614","TSPY3","testis specific protein Y-linked 3 [Source:HGNC Symbol;Acc:HGNC:33876]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TSPY3","124905615","TSPY3","testis specific protein Y-linked 3 [Source:HGNC Symbol;Acc:HGNC:33876]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TSPY3","124905616","TSPY3","testis specific protein Y-linked 3 [Source:HGNC Symbol;Acc:HGNC:33876]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TSPY3","124905617","TSPY3","testis specific protein Y-linked 3 [Source:HGNC Symbol;Acc:HGNC:33876]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TSPY3","124905618","TSPY3","testis specific protein Y-linked 3 [Source:HGNC Symbol;Acc:HGNC:33876]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TSPY3","124905619","TSPY3","testis specific protein Y-linked 3 [Source:HGNC Symbol;Acc:HGNC:33876]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TSPY3","124905620","TSPY3","testis specific protein Y-linked 3 [Source:HGNC Symbol;Acc:HGNC:33876]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TSPY3","124905621","TSPY3","testis specific protein Y-linked 3 [Source:HGNC Symbol;Acc:HGNC:33876]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TSPY3","124905624","TSPY3","testis specific protein Y-linked 3 [Source:HGNC Symbol;Acc:HGNC:33876]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TSPY3","124905625","TSPY3","testis specific protein Y-linked 3 [Source:HGNC Symbol;Acc:HGNC:33876]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TSPY3","124905626","TSPY3","testis specific protein Y-linked 3 [Source:HGNC Symbol;Acc:HGNC:33876]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TSPY3","124905627","TSPY3","testis specific protein Y-linked 3 [Source:HGNC Symbol;Acc:HGNC:33876]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TSPY3","124905628","TSPY3","testis specific protein Y-linked 3 [Source:HGNC Symbol;Acc:HGNC:33876]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TSPY3","124905629","TSPY3","testis specific protein Y-linked 3 [Source:HGNC Symbol;Acc:HGNC:33876]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TSPY3","124908978","TSPY3","testis specific protein Y-linked 3 [Source:HGNC Symbol;Acc:HGNC:33876]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TSPY3","124908979","TSPY3","testis specific protein Y-linked 3 [Source:HGNC Symbol;Acc:HGNC:33876]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TSPY3","124908980","TSPY3","testis specific protein Y-linked 3 [Source:HGNC Symbol;Acc:HGNC:33876]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TSPY3","124908981","TSPY3","testis specific protein Y-linked 3 [Source:HGNC Symbol;Acc:HGNC:33876]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TSPY3","124909197","TSPY3","testis specific protein Y-linked 3 [Source:HGNC Symbol;Acc:HGNC:33876]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TSPY3","124909294","TSPY3","testis specific protein Y-linked 3 [Source:HGNC Symbol;Acc:HGNC:33876]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TSPY3","124909306","TSPY3","testis specific protein Y-linked 3 [Source:HGNC Symbol;Acc:HGNC:33876]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TSPY3","124909318","TSPY3","testis specific protein Y-linked 3 [Source:HGNC Symbol;Acc:HGNC:33876]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TSPY3","124909320","TSPY3","testis specific protein Y-linked 3 [Source:HGNC Symbol;Acc:HGNC:33876]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TSPY3","124909330","TSPY3","testis specific protein Y-linked 3 [Source:HGNC Symbol;Acc:HGNC:33876]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TSPY3","728137","TSPY3","testis specific protein Y-linked 3 [Source:HGNC Symbol;Acc:HGNC:33876]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PRKCE","5581","PRKCE","protein kinase C epsilon [Source:HGNC Symbol;Acc:HGNC:9401]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ADRA2C","152","ADRA2C","adrenoceptor alpha 2C [Source:HGNC Symbol;Acc:HGNC:283]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"LEF1","51176","LEF1","lymphoid enhancer binding factor 1 [Source:HGNC Symbol;Acc:HGNC:6551]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NXF3","56000","NXF3","nuclear RNA export factor 3 [Source:HGNC Symbol;Acc:HGNC:8073]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ARFGAP3","26286","ARFGAP3","ADP ribosylation factor GTPase activating protein 3 [Source:HGNC Symbol;Acc:HGNC:661]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"THBS3","7059","THBS3","thrombospondin 3 [Source:HGNC Symbol;Acc:HGNC:11787]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"APOC3","345","APOC3","apolipoprotein C3 [Source:HGNC Symbol;Acc:HGNC:610]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SBDS","51119","SBDS","SBDS ribosome maturation factor [Source:HGNC Symbol;Acc:HGNC:19440]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SOS2","6655","SOS2","SOS Ras/Rho guanine nucleotide exchange factor 2 [Source:HGNC Symbol;Acc:HGNC:11188]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"GNG4","2786","GNG4","G protein subunit gamma 4 [Source:HGNC Symbol;Acc:HGNC:4407]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EPN1","29924","EPN1","epsin 1 [Source:HGNC Symbol;Acc:HGNC:21604]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"COMPLEX:+JQQY9EK0HY7PQSN8GKYJJOYRIY","None","None","None",""
"CTNNB1","1499","CTNNB1","catenin beta 1 [Source:HGNC Symbol;Acc:HGNC:2514]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EIF3C","728689","EIF3C","eukaryotic translation initiation factor 3 subunit C [Source:HGNC Symbol;Acc:HGNC:3279]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EIF3C","8663","EIF3C","eukaryotic translation initiation factor 3 subunit C [Source:HGNC Symbol;Acc:HGNC:3279]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"VPREB3","29802","VPREB3","V-set pre-B cell surrogate light chain 3 [Source:HGNC Symbol;Acc:HGNC:12710]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"HLA-DRB4","None","None","None",""
"PDE8A","5151","PDE8A","phosphodiesterase 8A [Source:HGNC Symbol;Acc:HGNC:8793]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PER1","5187","PER1","period circadian regulator 1 [Source:HGNC Symbol;Acc:HGNC:8845]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"S100B","6285","S100B","S100 calcium binding protein B [Source:HGNC Symbol;Acc:HGNC:10500]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NDUFB11","54539","NDUFB11","NADH:ubiquinone oxidoreductase subunit B11 [Source:HGNC Symbol;Acc:HGNC:20372]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"OR11H2","79334","OR11H2","olfactory receptor family 11 subfamily H member 2 [Source:HGNC Symbol;Acc:HGNC:14716]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MED13L","23389","MED13L","mediator complex subunit 13L [Source:HGNC Symbol;Acc:HGNC:22962]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CPNE8","144402","CPNE8","copine 8 [Source:HGNC Symbol;Acc:HGNC:23498]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RAMP2","10266","RAMP2","receptor activity modifying protein 2 [Source:HGNC Symbol;Acc:HGNC:9844]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"METHYLENE","None","None","None",""
"HIST1H2AJ","None","None","None",""
"CETN1","1068","CETN1","centrin 1 [Source:HGNC Symbol;Acc:HGNC:1866]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NCL","4691","NCL","nucleolin [Source:HGNC Symbol;Acc:HGNC:7667]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PKP4","8502","PKP4","plakophilin 4 [Source:HGNC Symbol;Acc:HGNC:9026]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"GGA2","23062","GGA2","golgi associated, gamma adaptin ear containing, ARF binding protein 2 [Source:HGNC Symbol;Acc:HGNC:16064]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TAS2R30","259293","TAS2R30","taste 2 receptor member 30 [Source:HGNC Symbol;Acc:HGNC:19112]","ENTREZGENE,HGNC,UNIPROT_GN,WIKIGENE"
"PGAP1","80055","PGAP1","post-GPI attachment to proteins inositol deacylase 1 [Source:HGNC Symbol;Acc:HGNC:25712]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PIGT","51604","PIGT","phosphatidylinositol glycan anchor biosynthesis class T [Source:HGNC Symbol;Acc:HGNC:14938]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"COMPLEX:/JURHW8FD05TYHOJPW0/Y308LS0","None","None","None",""
"RALY","22913","RALY","RALY heterogeneous nuclear ribonucleoprotein [Source:HGNC Symbol;Acc:HGNC:15921]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"IL17F","112744","IL17F","interleukin 17F [Source:HGNC Symbol;Acc:HGNC:16404]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"HSPA6","3310","HSPA6","heat shock protein family A (Hsp70) member 6 [Source:HGNC Symbol;Acc:HGNC:5239]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"COMPLEX:NI6G6RQPGHI66JYVZZL3E1/QYRQ","None","None","None",""
"CCDC43","124808","CCDC43","coiled-coil domain containing 43 [Source:HGNC Symbol;Acc:HGNC:26472]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"LY96","23643","LY96","lymphocyte antigen 96 [Source:HGNC Symbol;Acc:HGNC:17156]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"POLR2J3","548644","POLR2J3","RNA polymerase II subunit J3 [Source:HGNC Symbol;Acc:HGNC:33853]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SPG7","101930112","SPG7","SPG7 matrix AAA peptidase subunit, paraplegin [Source:HGNC Symbol;Acc:HGNC:11237]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SPG7","6687","SPG7","SPG7 matrix AAA peptidase subunit, paraplegin [Source:HGNC Symbol;Acc:HGNC:11237]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"LAS1L","81887","LAS1L","LAS1 like ribosome biogenesis factor [Source:HGNC Symbol;Acc:HGNC:25726]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CYP2C9*1,","None","None","None",""
"CYP2C9*13,","None","None","None",""
"CYP2C9*3,","None","None","None",""
"CYP2C9*5,","None","None","None",""
"CYP2C9*6,","None","None","None",""
"CYP2C9*8","None","None","None",""
"CD1C","911","CD1C","CD1c molecule [Source:HGNC Symbol;Acc:HGNC:1636]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"LCOR","84458","LCOR","ligand dependent nuclear receptor corepressor [Source:HGNC Symbol;Acc:HGNC:29503]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"FARSB","10056","FARSB","phenylalanyl-tRNA synthetase subunit beta [Source:HGNC Symbol;Acc:HGNC:17800]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MTMR14","64419","MTMR14","myotubularin related protein 14 [Source:HGNC Symbol;Acc:HGNC:26190]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"P2RY10","27334","P2RY10","P2Y receptor family member 10 [Source:HGNC Symbol;Acc:HGNC:19906]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SOD1","6647","SOD1","superoxide dismutase 1 [Source:HGNC Symbol;Acc:HGNC:11179]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"DCPS","28960","DCPS","decapping enzyme, scavenger [Source:HGNC Symbol;Acc:HGNC:29812]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MAP4K3","8491","MAP4K3","mitogen-activated protein kinase kinase kinase kinase 3 [Source:HGNC Symbol;Acc:HGNC:6865]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CCL16","6360","CCL16","C-C motif chemokine ligand 16 [Source:HGNC Symbol;Acc:HGNC:10614]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"VLDLR","7436","VLDLR","very low density lipoprotein receptor [Source:HGNC Symbol;Acc:HGNC:12698]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
